"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
786,"NCT05491629","Competencies of Operating Room Nurses and Influencing Factors",,"Completed","No Results Available","Competence|Nurse's Role","Other: type of parallel data in a convergent parallel hash pattern (near time)","competence Factors affecting the competence of operating room nurses|factors","Burdur Mehmet Akif Ersoy University|Akdeniz University","All","Child, Adult, Older Adult",,"224","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","AUCAK","March 1, 2020","August 20, 2020","June 20, 2022","August 8, 2022",,"August 8, 2022","Fatma Cebeci, Muratpaşa, Turkey",,"https://ClinicalTrials.gov/show/NCT05491629"
787,"NCT05491616","Nivolumab During Active Surveillance After Neoadjuvant Chemoradiation for Esophageal Cancer: SANO-3 Study","SANO-3","Not yet recruiting","No Results Available","Esophageal Cancer","Drug: Nivolumab","Disease Free survival 18 months|the proportion of patients with locoregional and/or distant metastase|the proportion of patients that undergo esophagectomy|health-related quality of life (HRQOL) at baseline, 3, 6, 12 and 24 months after inclusion|overall survival at 2 years","Erasmus Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","74","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA209-6KC","October 2022","April 2026","October 2026","August 8, 2022",,"August 8, 2022","Erasmus MC, Rotterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT05491616"
788,"NCT05491603","A Trial to Evaluate the Safety and Efficacy of DBI-001 Gel, DBI-002 Gel, and Aqueous Gel in Subjects With Onychomycosis",,"Recruiting","No Results Available","Onychomycosis","Biological: DBI-001|Biological: DBI-002|Biological: Aqueous Gel","Change in percentage of involved great toenail(s)|Changes in signs and symptoms of Onychomycosis|Population with completely clear nail growth|Change in Investigator's Static Global Assessment (ISGA)|Length of new clear nail growth|Molecular diagnostic quantitative polymerase chain reaction (qPCR) and whole genome sequencing (WGS) comparison of DBI-001 Gel, DBI-002 Gel and Aqueous Gel on the impact of T. rubrum levels|Change in colony forming units after using DBI-001 Gel or DBI-002 Gel or Aqueous Gel at Weeks 24 and 48|Evaluate the presence of DBI-001, DBI-002 based on qPCR and WGS and Weeks 24 and 48|Evaluate the effect of DBI-001 Gel and DBI-002 Gel on the change in relative abundance and diversity of the cutaneous microbiome of the great toenail(s) from Screening to Weeks 24 and 48 as measured by WGS","DermBiont, Inc.","All","18 Years to 50 Years   (Adult)","Phase 2","60","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CT-206","August 8, 2022","November 30, 2023","November 30, 2023","August 8, 2022",,"August 8, 2022","Minnesota Clinical Study Center, New Brighton, Minnesota, United States|North Sound Dermatology, Mill Creek, Washington, United States",,"https://ClinicalTrials.gov/show/NCT05491603"
789,"NCT05491590","Patient-reported Outcome After Status Epilepticus","POSEIDON","Not yet recruiting","No Results Available","Patient Reported Outcomes|Long Term Outcomes|Status Epilepticus|Intensive Care Unit|Intensive Care Unit Syndrome",,"percentage of global impairment of HRQoL defined by one and/or other of the physical and mental impairments (after dichotomization of the SF 36 summary scores compared to the general population) in patients managed in the ICU for or with SE.|percentage of cognitive/physical and/or mental health impairment defined after dichotomization of i)T-MoCA ,ii) GOS, iii)IADL&ADL, iv)HAD, v)IES-r in patients managed in the ICU for or with SE|percentage of impairement of HRQoL, in 8 dimensions of the generalist of SF 36, and scores in the 7 dimensions of the specific QOLIE 31 in patients managed in intensive care for or with SE.|percentage of impairement of HRQoL, in 8 dimensions of the generalist of SF 36, and scores in the 7 dimensions of the specific QOLIE 31in the SE sub-groups defining (with or without predominant motor signs)|Presence or absence Post-ICU factors associed to the PICs, as defined above in patients managed in the ICU for or with SE.|Presence or absence of the elements associated with the PICs, as defined above, in the subgroups defining SE (SE with orwithout predominant motor signs,).|Presence or absence Post-ICU factors associated of return to work ability in patients managed in the ICU for or with SE.|score of perceived social support by the SSQ6 scale in its 2 dimensions, satisfaction and availability.|percentage of the quality of life impairement in the total population and in in the SE sub-groups patients identified with an previous epilepsy","Versailles Hospital","All","18 Years and older   (Adult, Older Adult)",,"225","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","P21/11 - POSEIDON","September 1, 2022","September 1, 2023","December 1, 2023","August 8, 2022",,"August 8, 2022","CHVersailles, Le Chesnay, Yvelines, France",,"https://ClinicalTrials.gov/show/NCT05491590"
790,"NCT05491577","Factors Associated With an Evolution in the Quality of Life of Diabetic Patients With Chronic, Wound-free Charcot Foot","CHARQUAM","Not yet recruiting","No Results Available","Charcot Joint of Foot|Osteoarthropathy","Other: Filling in the SF-36, FAAM-F, PHQ-9, PHQ-2 and the simplified version of the EPICES score questionnaire","Results of the SF36 questionnaire at inclusion|Results of the FAAM-F questionnaire at inclusion|Results of the SF36 questionnaire at Month 12|Results of the FAAM-F questionnaire at Month 12|Results of the SF36 questionnaire at Month 24|Results of the FAAM-F questionnaire at Month 24|A. Evolution of X-ray measurements of bone and joint deformity of the foot. Lisfranc metatarsal misalignment (Méary's Line)|A. Evolution of the radiologic measurements of bone and joint deformity of the foot: Méary's angle.|A. Evolution of the radiologic measurements of bone and joint deformity of the foot. Calcaneal slope|A. Evolution of the radiologic measurements of bone and joint deformity of the foot. Djian Annonier angle|A. Evolution of the radiologic measurements of bone and joint deformity of the foot. Rearfoot alignment|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Retinopathy|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Peripheral vegetative neuropathy.|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Nephropathy.|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Lower extremity arteriopathy|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Supra-aortic trunk involvement|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Coronary artery disease|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Heart failure|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. History of strokes|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Arterial hypertension|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Smoking|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Alcohol status|B. Estimated prevalence of complications of diabetes and comorbidities at inclusion. Charlson Comorbidity Index|C. Medical and/or surgical treatment for Charcot foot.|D. Incidence of hospitalization|E. Presence of a wound/wounds|E. Presence of an infection|F. Presence of an amputation at inclusion|G. Estimated incidence of amputations|G. Presence of an amputation|H. Precarity of patients with chronic Charcot foot.|I. Depression according to the PHQ-2 self-questionnaire|I. Depression according to the PHQ-9 self-questionnaire|J. Mortality rate|K. Sanders Classification of the Charcot Foot","Centre Hospitalier Universitaire de Nīmes","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","SI RIPH 2G : 22.01571.000083","October 1, 2022","October 1, 2024","December 31, 2024","August 8, 2022",,"August 8, 2022","Centre Hospitalier de Boulogne-sur-Mer, Boulogne-sur-Mer, Pas-de-Calais, France|Groupement Hospitalier Est, Hôpital Cardiologique Service de Diabétologie 28 Av du Doyen Lépine, Bron, France|CH Sud Francilien Service de Diabétologie 40 Avenue Serge Dassault, Corbeil-Essonnes, France|CHU de Grenoble Service d'Endocrinologie Allée des Sablons Les écrins, Grenoble, France|Hôpital Hôtel dieu Service d'Endocrinologie 26 rue d'Harfleur, Le Creusot, France|CHU Bicêtre Service d'Endocrinologie et Maladies de la reproduction 78 rue du Général Leclerc, Le Kremlin-Bicêtre, France|CH de Lens Unité de Diabétologie-Endocrinologie- Nutrition-Obésité Centre Hospitalier Dr SCHAFFNER 99 rte de La Bassée,, Lens, France|CHRU de Lille Service d'Endocrinologie Diabétologie et Métabolisme, Hôpital Claude Huriez, Rue Polonovski, Lille, France|CHU de la CONCEPTION Service de Nutrition, Diabétologie, Obésité médicale, chirurgicale 47 Bd Baille, Marseille, France|CHU de Montpellier Service des Maladies métaboliques 371 av. Doyen Giraud, Montpellier Cedex, France|GH Pitié Salpétrière Unité de podologie Service de Diabétologie 47-83 Bd de l'Hôpital, Paris, France|GH Paris Saint Joseph Service de Diabétologie et Endocrinologie 185 rue Raymond Losserand, Paris, France|Hôpital Cochin Service de diabétologie 123 Bd de Port Royal, Paris, France|CHU de Lyon Sud Service d'Endocrinologie-Diabète-Nutrition CH Lyon Sud Pavillon médical, Bat 1B 165 chemin du Grand Revoyet, Pierre-Bénite, France|CHU Reims Service d'Endocrinologie, diabète-nutrition Rue du Général Koenig, Reims, France|Hôpitaux Universitaires de Strasbourg Service d'Endocrinologie et Diabétologie 1, place de l'hôpital,, Strasbourg, France|Hôpital DRON Service de diabétologie 135 rue du Président Coty, Tourcoing, France",,"https://ClinicalTrials.gov/show/NCT05491577"
791,"NCT05491564","SoftStitch™ for All-Inside Meniscal Repair: Comparative Analysis of Patient Reported Outcome Measures",,"Not yet recruiting","No Results Available","Meniscus Tear","Device: SoftStitch™","Lysholm Score|Tegner Activity Scale|International Knee Documentation Committee (IKDC) Subjective Measure|Patient-Reported Outcomes Measurement Information System (PROMIS) Global-10|McMurray Test","Arthrex, Inc.","All","18 Years to 55 Years   (Adult)",,"50","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","AIRR-0065","October 1, 2022","October 1, 2024","October 1, 2024","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491564"
792,"NCT05491551","Alcohol-ROC-Training","A-ROC-T","Not yet recruiting","No Results Available","Binge Drinking|Heavy Drinking|Young Adult|Heavy Drinker","Behavioral: Mindfulness-Based Treatment-Regulation of Craving|Behavioral: Cognitive-Based Therapy-Regulation of Craving","Change in frequency of heavy drinking days|Change in average estimated blood alcohol concentration (eBAC) per drinking day|Change in alcohol-related negative consequences|Reduction in World Health Organization (WHO) drinking risk level","Yale University|National Institute on Alcohol Abuse and Alcoholism (NIAAA)","All","18 Years to 26 Years   (Adult)","Not Applicable","177","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2000029394|1R01AA029137-01","August 2022","December 2027","December 2027","August 8, 2022",,"August 8, 2022","Yale University, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT05491551"
793,"NCT05491538","Acceptability and Feasibility of Work-Oriented Social-Cognitive Skills Training for Veterans With Serious Mental Illness",,"Not yet recruiting","No Results Available","Schizophrenia|Bipolar Disorder|Depressive Disorder, Major|Stress Disorder, Post-Traumatic","Behavioral: Social Cognition and Interaction Training-Work Edition (SCIT-WE)","Social Adjustment Scale-Self-Report: Short Version (SAS-SR: Short) Change|Recovering Quality of Life (ReQoL)-20 Change|Return to Work Self-Efficacy Scale (RTW-SE) Change|Intrinsic Motivation Inventory - Interest subscale|Intrinsic Motivation Inventory - Value subscale|Client Satisfaction Questionnaire (CSQ-8)|Rate of Treatment Uptake|Completer of Skills Training Intervention|Retention in supported employment|Retention in skills training program|Mentoring and Communication Support Scale (MCSS)|Vocational Efficacy in Trauma Survivors Scale|Work Limitations Questionnaire (WLQ)","VA Office of Research and Development","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D4068-P","December 1, 2022","November 30, 2024","November 30, 2024","August 8, 2022",,"August 8, 2022","Minneapolis VA Health Care System, Minneapolis, MN, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT05491538"
794,"NCT05491525","A Study of Vibegron in Pediatric Participants 2 Years to Less Than (<) 18 Years of Age With NDO and on CIC","KANGUROO","Not yet recruiting","No Results Available","Neurogenic Detrusor Overactivity","Drug: Vibegron","Change from Baseline in maximum cystometric capacity (MCC) based on bladder filling urodynamics|Change from Baseline in MCC|Change from Baseline in number of overactive detrusor contractions until the end of bladder filling|Change from Baseline in detrusor pressure at the end of bladder filling|Change from Baseline in bladder filling volume until first involuntary/hyperactive detrusor contraction|Change from Baseline in bladder compliance (mL/cm H2O)|Change from Baseline in average first morning catheterized volume|Change from Baseline in average catheterized volume per catheterization|Change from Baseline in average maximum catheterized volume per day|Change from Baseline in average maximum catheterized daytime volume|Change from Baseline in average number of leakage episodes per day|Change from Baseline in estimated number of dry (leakage-free) days/ 7 days|Change from Baseline in Pediatric Incontinence Questionnaire (PIN-Q)|Change from Baseline in Patient Global Impression of Severity (PGI-S) Scale|Change from Baseline in Clinical Global Impression of Change (CGI-C) Scale","Urovant Sciences GmbH","All","2 Years to 17 Years   (Child)","Phase 2|Phase 3","85","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","URO-901-3007","August 2022","March 2027","September 2027","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491525"
795,"NCT05491512","A Study of Reduced Radiation Therapy and Standard-of-Care Chemotherapy in People With HPV-Positive Throat Cancer",,"Recruiting","No Results Available","HPV|Throat Cancer|Oropharyngeal Carcinoma|Oropharyngeal Cancer|Human Papilloma Virus","Diagnostic Test: 18 F-FMISO PET/CT|Radiation: Radiation|Drug: Cisplatin|Drug: Carboplatin|Drug: 5-fluorouracil","Number of participants with any locoregional recurrences","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","71","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","22-215","August 4, 2022","August 4, 2024","August 4, 2024","August 8, 2022",,"August 8, 2022","Memorial Sloan Kettering Cancer Center at Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, United States|Memorial Sloan Kettering Monmouth (Limited Protocol Activities), Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, United States|Memorial Sloan Kettering Cancer Center at Suffolk-Commack (Limited Protocol Activities), Commack, New York, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, United States",,"https://ClinicalTrials.gov/show/NCT05491512"
796,"NCT05491499","Assessing the Impact of Exercise Based Intensive Interdisciplinary Pain Treatment (IIPT) on Endogenous Pain Modulation in Youth With Chronic Pain Syndromes",,"Not yet recruiting","No Results Available","Chronic Pain Syndrome|Fibromyalgia|Chronic Headache Disorder|Functional Abdominal Pain Syndrome|Complex Regional Pain Syndromes",,"Change in Offset Analgesia|Change in Control Test Response|Change in Constant Test Response|Change in Cardiovascular Endurance","Boston Children's Hospital|APTA Pediatrics","All","10 Years to 17 Years   (Child)",,"38","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","P00043035","October 2022","September 2023","September 2023","August 8, 2022",,"August 8, 2022","Boston Children's Hospital at Waltham, Waltham, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT05491499"
797,"NCT05491486","Mindfulness, Empathy and the Oxytocinergic System in Persons With Schizophrenia","OXYGEN","Recruiting","No Results Available","Schizophrenia Spectrum and Other Psychotic Disorders","Behavioral: Mindfulness-based Group Therapy","Change in oxytocin levels|Change in empathy levels IRI|Change in empathy levels EQ|Change in SMQ Mindfulness|PSP Social Functioning|Change in PANSS Positive, Negative, and General Symptoms|Change in SNS Negative Symptoms|Change in DASS Depression & Anxiety|Change in CFQ Psychological Flexibility|Change in PANAS Positive and Negative Affect|Change in BIRT Motivation (BMQ)","Charite University, Berlin, Germany|Brain & Behavior Research Foundation","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","OXYGEN2022","June 15, 2022","July 15, 2023","July 15, 2023","August 8, 2022",,"August 8, 2022","Charité - Universitätsmedizin Berlin, Campus Benjamin Franklin, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT05491486"
798,"NCT05491473","Negative Pressure in PAP Donor Sites",,"Completed","No Results Available","Breast Reconstruction","Device: Closed incisional negative pressure wound therapy (iNPWT) system","Off-bed time (days)|Drainage amount (ml)|Vacuum ball removed timing|Vancouver Scar Scale (VSS)|Re-open|Donor site acute complication (< 30 days)|Donor site chronic complication (> 30 days)|Donor site revision","Chang Gung Memorial Hospital","Female","Child, Adult, Older Adult",,"25","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","202101649B0","September 23, 2021","April 10, 2022","May 31, 2022","August 8, 2022",,"August 8, 2022","ChangGungMH, Taoyuan, Taiwan",,"https://ClinicalTrials.gov/show/NCT05491473"
799,"NCT05491460","Pharmacokinetics and Point of Care Testing of Direct Oral Anticoagulants Subjects","PHAPOCU","Active, not recruiting","No Results Available","Anticoagulant Therapy","Drug: Apixaban 5 MG Tab|Drug: Dabigatran 150 MG Tab|Drug: Edoxaban 60Mg Tab|Drug: Rivaroxaban 20 MG Tab","Accuracy and specificity of the DOAC Dipstick compare to LC-MSMS|Comparison of qualitative POCT with quantitative LC-MS/MS|Questionnaire on handling and usability","Doasense GmbH","Male","18 Years and older   (Adult, Older Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PhaKiDo-001","July 1, 2022","December 30, 2023","December 30, 2023","August 8, 2022",,"August 8, 2022","Clincial Research Serivces, Mannheim, Germany",,"https://ClinicalTrials.gov/show/NCT05491460"
800,"NCT05491447","A Clinical Trial of BMX-010 in Adult Subjects With Atopic Dermatitis",,"Not yet recruiting","No Results Available","Atopic Dermatitis","Drug: BMX-010|Drug: Placebo","Change from Baseline in Eczema Area and Severity Index at Week 4|Incidence of treatment emergent adverse events and changes from baseline in vital signs and clinical laboratory parameters|Change from baseline in Eczema Area and Severity Index at weeks 1, 2, and 3.|Proportion of subjects who achieve Eczema Area and Severity Index-50 and Eczema Area and Severity Index -75 at Weeks 1, 2, 3 and 4.|Change from baseline in Body Surface Area x validated Investigator Global Assessment of Atopic Dermatitis scoreat Weeks 1, 2, 3, and 4|Change from baseline in body surface area at Weeks 1, 2, 3, and 4.|Change from baseline in validated Investigator Global Assessment of Atopic Dermatitis at Weeks 1, 2, 3, and 4.|Proportion of subjects who achieve a validated Investigator Global Assessment of Atopic Dermatitis score of Almost clear (1) and/or Clear (0) with a 2-point reduction at Weeks 1, 2, 3, and 4.|Change from baseline in the Pruritus Numerical Rating Scale (NRS) at Weeks 1, 2, 3, and 4.|Change from baseline in Modified Pruritus Numerical Rating Scale (Current Itch Intensity; 30 minutes and 4 hours post-dose) on Day 1.|Measurement of plasma concentrations of BMX-010 in participants receiving active treatment","BioMimetix JV, LLC|Innovaderm Research Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","224","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","BMX-DERM-02","October 31, 2022","October 31, 2024","December 31, 2024","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491447"
801,"NCT05491434","Sarcopenia in Colorectal Cancer Patients, Intervention Study",,"Recruiting","No Results Available","Sarcopenia|Postoperative Complications|Infection;Post Surg Procedure","Dietary Supplement: Protein supplement","to evaluate the rate of post-surgical infectious complications between the group of sarcopenic and non-sarcopenic patients|To asess the rate of post-surgical complications between the group of sarcopenic and non-sarcopenic patients|Overall survival at one year|Quality of life of surgical patients","Hospital Universitari de Bellvitge","All","70 Years and older   (Older Adult)","Not Applicable","370","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PR137/19","December 1, 2020","December 31, 2022","March 31, 2023","August 8, 2022",,"August 8, 2022","Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT05491434"
802,"NCT05491421","A Study of ZT002 in Healthy Participants",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: ZT002|Other: Placebo","Safety and tolerability of a single escalation dose of ZT002 through the incidence and severity of treatment emergent adverse events. Number of participants with treatment-emergent adverse events.|Safety and tolerability of a single escalation dose of ZT002 through the incidence severity of serious adverse events. Number of participants with serious adverse events.|The Pharmacokinetics (PK) profile of a single escalation dose of ZT002 in healthy participants. Parameter: Maximum observed plasma concentration of ZT002 (Cmax)|The Pharmacokinetics (PK) profile of a single escalation dose of ZT002 in healthy participants. Parameter: Area under the drug-time curve from 0 h after dosing to the last quantifiable concentration time point (AUC0-last)|The Pharmacokinetics (PK) profile of a single escalation dose of ZT002 in healthy participants. Parameter: Area under the drug-time curve to infinity (AUC0-inf)|The anti-drug antibody (ADA) response through an anti-drug antibody assay|The anti-drug antibody (ADA) response through testing serum or plasma of the participant post dosing","QL Biopharmaceutical Australia Pty Ltd|Novotech (Australia) Pty Limited|Beijing QL Biopharmaceutical Co.,Ltd","All","18 Years to 55 Years   (Adult)","Phase 1","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ZT002","September 5, 2022","February 14, 2023","August 31, 2023","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491421"
803,"NCT05491408","Effect of Cough Assist Device in COPD Patients Admitted to Respiratory Intensive Care Unit at Assiut University Hospital",,"Not yet recruiting","No Results Available","COPD Exacerbation","Device: Cough assist device","efficacy of Cough Assist Device (CAD) in COPD patients admitted in RICU including need for invasive or Non-invasive ventilation and weaning success.","Assiut University","All","18 Years to 85 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","cough assist device in ICU","August 1, 2022","December 1, 2023","March 1, 2024","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491408"
804,"NCT05491395","Hypofractionated Radiotherapy in Breast Cancer Patients With Prosthetic Reconstruction","PROMART","Recruiting","No Results Available","Breast Cancer","Radiation: Hypofractionation","Assess the G3 toxicity rate|Local recurrence|Assessment of quality of life through the EORTC Questionnaires European Organization for Research and Treatment of Cancer, where a high or low score may suggest good quality of life depending on the domain of the questionnaire|Comparison of self-image using the EORTC Questionnaires European Organization for Research and Treatment of Cancer, where a high or low score may suggest good quality of life depending on the domain of the questionnaire|Compare acute and late radiodermatitis rates by Common Terminology Criteria for Adverse Events (CTCAE) 4.0|Dosimetric analysis|Inflammation markers screening - detection of cytokines with the CBA panel|Extracellular vesicles isolation and characterization|Evaluate extracellular vesicles molecular profile","Barretos Cancer Hospital","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1","June 27, 2022","May 1, 2026","May 1, 2029","August 8, 2022",,"August 8, 2022","Radiation Oncology Department, Barretos, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT05491395"
805,"NCT05491382","Muscle and Body Temperature Responses During Uphill and Downhill Running",,"Not yet recruiting","No Results Available","Body Temperature Changes|Exercise|Blood Pressure","Procedure: Uphill running|Procedure: Flatland running|Procedure: Downhill running","Core temperature|Skin temperature|Muscle temperature|Whole-body sweat rate (arm 1)|Femoral blood flow (arm 2)|Blood pressure (arm 2)|Perceived muscle pain (arm 3)|Maximal voluntary contraction (arm 3)|Plasma creatinine levels (arm 3)|Oxygen consumption|Local sweat rate|Skin blood flow|Heart rate|Perceived exertion|Thermal comfort","Centura Health|University of Colorado, Colorado Springs","All","18 Years to 45 Years   (Adult)","Not Applicable","44","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","1864889","September 2022","December 2023","September 2024","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491382"
806,"NCT05491369","Effectiveness of an Epilepsy Application for Self-management in Viet Nam",,"Not yet recruiting","No Results Available","Epilepsy","Other: Epilepsy application","Epilepsy Self-Management Scale (ESMS)|Quality of Life in Epilepsy Inventory (QOLIE-31)|PHQ9 (Patient Health Questionnaire scale)|GAD7 (Generalized Anxiety Disorder scale)","University of Medicine and Pharmacy at Ho Chi Minh City","All","18 Years and older   (Adult, Older Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Supportive Care","22416 - ĐHYD","August 2022","December 2023","June 2024","August 8, 2022",,"August 10, 2022","Nguyen Tri Phuong Hospital, Ho Chi Minh City, Vietnam|University Medical Center at Ho Chi Minh City, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT05491369"
807,"NCT05491356","Use of Tissue Plasminogen Activator in the Clearance of Chronic Subdural Hematomas",,"Not yet recruiting","No Results Available","Hematoma, Subdural|Fibrinolytic; Hemorrhage","Drug: Tissue Plasminogen Activator|Drug: Placebo","Study Feasibility|Reoperation rate|Volume of chronic subdural hematoma|Rate of adverse events|Length of hospital stay","Hamilton Health Sciences Corporation","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","14724","September 2022","April 2023","April 2023","August 8, 2022",,"August 8, 2022","Hamilton General Hospital, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05491356"
808,"NCT05491343","Observation vs Progesterone Treatment for Management of Uterine Arteriovenous Malformation",,"Not yet recruiting","No Results Available","Arteriovenous Malformations","Drug: MedroxyPROGESTERone Injection [Depo-Provera]|Device: Other","AVM regression","HaEmek Medical Center, Israel","Female","18 Years to 50 Years   (Adult)","Phase 4","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0060-22EMC","August 2022","December 2022","January 2024","August 8, 2022",,"August 8, 2022",,,"https://ClinicalTrials.gov/show/NCT05491343"
809,"NCT05491330","Bioequivalence Study of Nirmatrelvir & Ritonavir From Copaxid 150 +100 mg Tablets (Eva Pharma, Egypt) Versus Paxlovid 150 + 100 mg Film Coated Tablets (Pfizer Europe, Belgium)",,"Recruiting","No Results Available","Healthy","Drug: Nirmatrelvir 150 mg + Ritonavir 100 mg (Reference first dose)|Drug: Nirmatrelvir 150 mg + Ritonavir 100 mg (test)|Drug: Nirmatrelvir 150 mg + Ritonavir 100 mg (Reference second dose)","Cmax|Time of the maximum plasma concentration (Tmax)","Genuine Research Center, Egypt|Eva Pharma","All","18 Years to 55 Years   (Adult)","Phase 1","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","GRC/1/22/1038","August 2022","August 2022","September 2022","August 8, 2022",,"August 8, 2022","Genuine Research Center GRC, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT05491330"
